,Latitude_2019,Longitude_2019,elev_2019,Latitude_2011,Longitude_2011,elev_2011,Latitude_2012, Longitude_2012, elev_2012,Latitude_2013,Longitude_2013,elev_2013,Latitude_2014,Longitude_2014,elev_2014,Latitude_2015,Longitude_2015,elev_2015,Latitude_2016,Longitude_2016,elev_2016,Latitude_2018,Longitude_2018,elev_2018
187,69.24591,310.359098,351.3724,69.247827,310.396179,514.1662,69.249292,310.389055,565.7885,69.251869,310.39338,540.7812,69.249546,310.394629,522.1914,69.248113,310.395397,520.0478,69.248175,310.395908,511.8482,,,
191,69.245562,310.359229,349.5671,69.247523,310.396373,510.9765,69.249018,310.388877,567.9461,69.251652,310.393534,543.0486,69.249278,310.394797,515.5107,69.247818,310.395581,509.3868,69.247879,310.396084,501.5564,,,
195,69.245214,310.359361,349.5946,69.24722,310.396566,515.7,69.248744,310.3887,564.0352,69.251435,310.39369,541.1033,69.249011,310.394965,515.367,69.247522,310.395764,507.6592,69.247582,310.396261,500.4403,,,
199,69.244866,310.359493,348.9332,69.246916,310.396759,516.0323,69.24847,310.388523,561.0226,69.251218,310.393844,537.1341,69.248743,310.395133,518.1206,69.247227,310.395947,511.6549,69.247286,310.396436,505.6536,,,
203,69.244519,310.359626,348.2871,69.246613,310.396952,514.8016,69.248196,310.388346,564.8808,69.251001,310.394,532.9769,69.248475,310.395301,513.5634,69.246932,310.39613,505.9429,69.246989,310.396612,501.9049,,,
207,69.244171,310.359759,345.1292,69.246309,310.397145,513.7948,69.247922,310.388169,566.0383,69.250785,310.394157,532.6059,69.248207,310.395469,507.0336,69.246638,310.396314,502.0902,69.246693,310.396787,497.4673,,,
211,69.243824,310.359892,338.3381,69.246006,310.397337,512.1408,69.247647,310.387992,567.2013,69.250568,310.394314,526.7076,69.24794,310.395637,506.4845,69.246343,310.396497,499.9826,69.246397,310.396962,496.1219,,,
215,69.243478,310.360026,329.8134,69.245703,310.39753,513.8494,69.247373,310.387814,570.9256,69.250351,310.394469,523.733,69.247672,310.395805,508.3691,69.246048,310.39668,496.0544,69.2461,310.397138,493.979,,,
219,69.243131,310.36016,321.5708,69.2454,310.397722,515.8024,69.247099,310.387637,572.5309,69.250134,310.394624,528.2229,69.247404,310.395973,503.1313,69.245754,310.396862,496.6736,69.245803,310.397312,494.7742,,,
223,69.242785,310.360294,314.8559,69.245097,310.397914,512.8365,69.246824,310.38746,573.3566,69.249917,310.394778,527.1535,69.247136,310.396141,498.8886,69.245459,310.397045,499.6929,69.245507,310.397487,497.9131,,,
227,69.242439,310.360428,307.9266,69.244794,310.398105,512.7559,69.24655,310.387282,570.6173,69.2497,310.39493,522.0118,69.246868,310.396308,499.0806,69.245165,310.397227,498.5739,69.24521,310.397661,498.0293,,,
231,69.242094,310.360563,301.4675,69.244491,310.398296,513.8813,69.246275,310.387105,569.9772,69.249483,310.395079,519.7676,69.2466,310.396477,497.0125,69.244871,310.39741,495.0309,69.244914,310.397836,499.1514,,,
235,69.241749,310.360697,293.4467,69.244188,310.398487,515.5453,,,,69.249266,310.395227,516.3675,69.246332,310.396645,497.3615,69.244577,310.397592,496.5648,69.244618,310.398009,500.8089,,,
239,69.241404,310.360832,284.9114,69.243885,310.398678,518.505,,,,69.249048,310.395374,514.484,69.246063,310.396812,500.6532,69.244282,310.397774,499.396,69.244321,310.398183,498.3655,,,
243,69.241059,310.360966,277.4903,69.243582,310.398868,517.2599,,,,69.24883,310.395518,514.951,69.245796,310.396981,498.4859,69.243989,310.397956,501.4512,69.244025,310.398358,497.1817,,,
247,69.240715,310.361101,271.1428,69.24328,310.399059,514.709,,,,69.248612,310.395662,515.8607,69.245527,310.397148,496.6925,69.243695,310.398138,501.3861,69.243728,310.398532,501.7103,,,
251,69.240371,310.361235,266.02,69.242977,310.399249,516.5909,,,,69.248394,310.395804,516.7169,69.245258,310.397316,498.8425,69.243401,310.39832,496.4314,69.243432,310.398706,501.9324,,,
255,69.240028,310.361369,262.1952,69.242675,310.399439,521.3142,,,,69.248176,310.395943,516.1406,69.24499,310.397484,499.3491,69.243107,310.398502,498.6153,69.243136,310.39888,500.2264,,,
259,69.239685,310.361502,258.6962,69.242372,310.399629,520.0562,,,,69.247957,310.396083,511.4043,69.244721,310.397652,501.5303,69.242814,310.398683,503.9831,69.242839,310.399054,500.9146,,,
263,69.239342,310.361636,253.6941,69.24207,310.399818,518.1264,,,,69.247739,310.396222,509.8751,69.244453,310.397819,503.1886,69.24252,310.398865,503.0872,69.242543,310.399229,502.1794,,,
267,69.239,310.361769,249.4688,69.241768,310.400008,522.0999,,,,69.24752,310.396361,514.571,69.244184,310.397989,501.7106,69.242227,310.399047,503.0388,69.242247,310.399405,505.0521,,,
271,69.238658,310.361902,245.6361,69.241466,310.400197,521.3736,,,,69.247302,310.396499,511.2816,69.243915,310.398155,498.525,69.241934,310.399228,501.9589,69.24195,310.399582,499.6667,,,
275,69.238317,310.362035,242.8791,69.241163,310.400386,516.1746,,,,69.247083,310.396638,503.3353,69.243647,310.398323,499.0851,69.241347,310.39959,499.8759,69.241654,310.399757,499.7777,,,
279,69.237976,310.362168,240.8058,69.240861,310.400575,518.9767,,,,69.246865,310.396777,502.8428,69.243378,310.39849,503.1225,69.241054,310.399772,498.4323,69.241358,310.399934,506.3819,,,
283,69.237635,310.3623,238.4371,69.240559,310.400763,521.3145,,,,69.246646,310.396916,508.9735,69.243108,310.398659,501.7476,69.240761,310.399953,495.6776,69.241062,310.400112,500.8714,,,
287,69.237295,310.362431,235.5126,69.240257,310.400952,514.1867,,,,69.246428,310.397056,511.5576,69.24284,310.398826,500.254,69.240468,310.400135,498.0631,69.240767,310.400291,498.1173,,,
291,69.236956,310.362562,230.4196,69.239956,310.40114,507.4969,,,,69.246209,310.397195,505.1886,69.24257,310.398994,501.5968,69.240176,310.400315,500.4234,69.240471,310.40047,500.4215,,,
295,69.236616,310.362692,226.2353,69.239654,310.401328,508.3082,,,,69.24599,310.397333,498.7426,69.242301,310.399163,502.3676,69.239883,310.400497,490.9542,69.240175,310.400649,496.3759,,,
299,69.236277,310.362822,223.5427,69.239352,310.401515,506.5085,,,,69.245771,310.39747,501.8934,69.242032,310.39933,500.8609,69.23959,310.400678,491.227,69.239879,310.40083,495.5484,,,
303,69.235939,310.36295,219.655,69.23905,310.401703,502.9046,,,,69.245552,310.397605,505.7144,69.241762,310.399498,500.3177,69.239298,310.400859,496.4765,69.239584,310.401012,499.9148,,,
307,69.235601,310.363078,215.3617,69.238749,310.40189,505.1607,,,,69.245333,310.397739,504.9657,69.241493,310.399667,499.1114,69.239006,310.401041,494.9969,69.239288,310.401194,505.7084,,,
311,69.235263,310.363205,211.3874,69.238447,310.402077,507.2688,,,,69.245114,310.397872,502.6092,69.241223,310.399835,497.2871,69.238713,310.401222,491.4629,69.238993,310.401376,500.145,,,
315,69.234925,310.363331,206.7862,69.238146,310.402264,500.6275,,,,69.244895,310.398004,502.3634,69.240954,310.400004,499.5163,69.238421,310.401404,483.9433,69.238698,310.40156,490.998,,,
319,69.234588,310.363456,200.7785,69.237844,310.40245,498.5203,,,,69.244675,310.398136,504.766,69.240684,310.400171,501.309,69.238129,310.401585,482.6605,69.238402,310.401743,491.744,,,
323,69.234251,310.36358,193.7615,69.237543,310.402637,502.8961,,,,69.244456,310.398267,504.3326,69.240414,310.400341,500.0988,69.237837,310.401767,487.0085,69.238107,310.401928,496.3786,,,
327,69.233915,310.363704,184.0954,69.237242,310.402823,501.2498,,,,69.244236,310.398398,500.2867,69.240144,310.40051,493.7227,69.237545,310.401949,484.3226,69.237813,310.402114,492.4458,,,
331,69.233579,310.363826,173.1854,69.23694,310.40301,499.4095,,,,69.244017,310.398529,500.7219,69.239874,310.400678,488.7369,69.237254,310.402131,477.9189,69.237518,310.4023,486.9785,,,
335,69.233243,310.363947,160.5142,69.236639,310.403196,497.0154,,,,69.243797,310.39866,505.8318,69.239604,310.400848,493.2923,69.236961,310.402313,476.8893,69.237223,310.402486,486.4145,,,
339,69.232907,310.364068,148.8204,69.236338,310.403382,493.9483,,,,69.243578,310.398793,506.6412,69.239334,310.401018,496.551,69.23667,310.402495,481.2547,69.236928,310.402674,480.9312,,,
343,69.232572,310.364187,138.3594,69.236037,310.403568,494.6381,,,,69.243359,310.398924,505.6912,69.239064,310.401188,497.6687,69.236379,310.402677,481.1596,69.236339,310.403048,479.9159,,,
347,69.232237,310.364306,129.4797,69.235736,310.403754,490.9485,,,,69.243139,310.399057,504.629,69.238794,310.401359,492.5218,69.236087,310.40286,473.228,69.236045,310.403237,476.0109,,,
351,69.231903,310.364424,124.2728,69.235435,310.403939,487.8637,,,,69.24292,310.39919,502.211,69.238524,310.401529,492.6563,69.235796,310.403043,465.4502,69.235162,310.403803,462.2128,,,
355,69.231569,310.364541,120.1063,69.235134,310.404125,489.4027,,,,69.242701,310.399325,502.4303,69.238254,310.401699,497.7673,69.235505,310.403225,465.929,69.234867,310.403994,462.9676,,,
359,69.231235,310.364658,118.4496,69.234834,310.40431,485.7774,,,,69.242482,310.39946,503.3984,69.237983,310.401871,490.4182,69.235214,310.403408,470.7751,69.234573,310.404184,462.7554,,,
363,69.230902,310.364774,118.8368,69.234533,310.404496,473.5508,,,,69.242263,310.399596,502.1126,69.237713,310.402042,487.1523,69.234923,310.40359,470.9937,69.234279,310.404373,460.4684,,,
367,69.230569,310.364889,120.9093,69.234232,310.404681,468.7842,,,,69.242044,310.399732,504.5423,69.237442,310.402213,492.802,69.234632,310.403773,467.7671,69.233985,310.404565,456.9525,,,
371,69.230236,310.365003,124.4202,69.233931,310.404866,471.0787,,,,69.241825,310.399867,508.8459,69.237172,310.402386,493.5001,69.234341,310.403956,463.7097,69.233691,310.404756,452.0776,,,
375,69.229903,310.365116,128.9342,69.233631,310.405051,473.7124,,,,69.241606,310.400003,505.0673,69.236901,310.402557,492.5274,69.23405,310.404139,454.0892,69.233397,310.404947,437.505,,,
379,69.229571,310.365228,132.5839,69.23333,310.405237,472.3503,,,,69.241387,310.400137,499.597,69.23663,310.402729,488.4913,69.233759,310.404321,446.4508,69.233103,310.405139,429.7032,,,
383,69.229239,310.365339,135.6469,69.23303,310.405422,464.0244,,,,69.241168,310.40027,498.9843,69.236359,310.402901,479.8335,69.233469,310.404504,447.3787,69.232809,310.405331,425.8089,,,
387,69.228908,310.36545,138.2388,69.232729,310.405607,451.1834,,,,69.240948,310.400403,502.0348,69.236089,310.403073,476.0329,69.233178,310.404687,446.8233,69.232515,310.405523,423.1237,,,
391,69.228577,310.365559,140.4598,69.232429,310.405792,446.6222,,,,69.240729,310.400535,500.8174,69.235817,310.403245,479.0262,69.232887,310.40487,442.489,69.232221,310.405716,419.8673,,,
395,69.228246,310.365668,143.5642,69.232128,310.405978,447.4886,,,,69.24051,310.400668,502.439,69.235546,310.403418,481.7255,69.232597,310.405053,437.3371,69.231927,310.405909,413.2098,,,
399,69.227915,310.365775,146.9379,69.231828,310.406163,442.9931,,,,69.24029,310.400799,508.6919,69.235275,310.403591,477.7413,69.232307,310.405236,425.8082,69.231634,310.406101,404.296,,,
403,69.227585,310.365882,149.9912,69.231527,310.406348,435.0581,,,,69.24007,310.400932,508.6819,69.235003,310.403762,473.8123,69.232016,310.405419,412.2985,69.23134,310.406295,393.4924,,,
407,69.227255,310.365988,153.0586,69.231227,310.406533,426.1267,,,,69.239851,310.401065,503.5965,69.234732,310.403937,474.2303,69.231726,310.405604,406.5153,69.231046,310.406488,385.2785,,,
411,69.226925,310.366094,155.6886,69.230926,310.406718,412.9794,,,,69.239632,310.401199,499.9938,69.23446,310.40411,468.5677,69.231436,310.405787,403.7649,69.230753,310.406681,380.8516,,,
415,69.226596,310.366198,157.7872,69.230626,310.406903,401.3218,,,,69.239412,310.401335,504.593,69.234189,310.404284,461.3624,69.231146,310.405971,398.6368,69.230459,310.406874,372.1745,,,
419,69.226266,310.366302,159.7247,69.230325,310.407088,393.4606,,,,69.239193,310.401472,501.6352,69.233917,310.404457,462.6894,69.230856,310.406155,392.3335,69.230166,310.407067,361.1305,,,
423,69.225938,310.366405,161.424,69.230025,310.407273,390.5291,,,,69.238974,310.40161,498.9428,69.233645,310.404631,462.3189,69.230566,310.406339,380.8389,69.229872,310.40726,352.2477,,,
427,69.225609,310.366507,162.5146,69.229724,310.407457,384.1513,,,,69.238754,310.401747,504.0823,69.233374,310.404804,453.9191,69.230276,310.406524,368.9099,69.229579,310.407453,348.2288,,,
431,69.225281,310.366608,163.2794,69.229424,310.407642,376.6787,,,,69.238535,310.401885,502.6085,69.233101,310.404979,443.6706,69.229987,310.406708,361.6108,69.229285,310.407645,344.6994,,,
